Employee_ID,Name,Age,Gender,Department,Job_Role,Salary,Experience_Years,Joining_Date,Performance_Score,City,Employment_Status
EMP1814,Employee_814,31,Male,Finance,Accountant,50500.0,20.0,2015-12-11,1,Hyderabad,Active
EMP1484,Employee_484,45,Male,Operations,Manager,67712.0,5.0,2020-03-01,3,Pune,On Leave
EMP1544,Employee_544,24,Female,Sales,Sales Executive,95533.0,17.0,2020-08-18,6,Hyderabad,On Leave
EMP1200,Employee_200,29,Female,Operations,Sales Executive,72562.0,14.0,2017-11-09,3,Pune,On Leave
EMP1502,Employee_502,39,Female,Finance,Developer,,13.0,2023-07-22,6,Hyderabad,Active
EMP1941,Employee_941,49,Male,Sales,Analyst,75940.0,0.0,2015-07-28,4,Mumbai,Active
EMP1108,Employee_108,55,Female,Operations,Sales Executive,68791.0,10.0,2023-12-17,1,Mumbai,Active
EMP1219,Employee_219,21,Male,HR,Developer,92293.0,19.0,2023-01-28,3,Mumbai,Resigned
EMP1926,Employee_926,60,Male,Operations,Manager,62158.0,13.0,2020-01-30,6,Chennai,Active
EMP1175,Employee_175,22,Female,Operations,Developer,85614.0,20.0,2016-10-14,10,Hyderabad,Active
EMP1724,Employee_724,60,Male,IT,Analyst,26134.0,17.0,2018-03-27,3,Bangalore,Resigned
EMP1882,Employee_882,25,Female,Finance,Developer,89925.0,19.0,2019-08-09,1,Pune,Resigned
EMP1934,Employee_934,35,Female,HR,Accountant,55009.0,6.0,2017-01-04,3,Hyderabad,Active
EMP1395,Employee_395,42,Male,Finance,Developer,87433.0,17.0,2021-03-19,3,Mumbai,Resigned
EMP1040,Employee_40,34,Male,Finance,Developer,99619.0,11.0,2025-12-14,6,Hyderabad,Active
EMP1834,Employee_834,50,Female,Sales,Sales Executive,51489.0,11.0,2019-01-02,2,Coimbatore,Active
EMP1774,Employee_774,58,Male,Marketing,Manager,37855.0,8.0,2019-04-10,5,Hyderabad,Active
EMP1352,Employee_352,26,Female,Marketing,Analyst,81575.0,7.0,2023-11-24,9,Pune,Active
EMP1067,Employee_67,34,Male,Sales,Developer,110140.0,2.0,2025-01-18,2,Bangalore,Active
EMP1278,Employee_278,58,Male,Marketing,Developer,118783.0,7.0,2017-01-16,5,Pune,Active
EMP1068,Employee_68,43,Female,HR,Manager,41923.0,0.0,2023-10-19,6,Mumbai,Resigned
EMP1911,Employee_911,28,Female,HR,Sales Executive,250000.0,3.0,2016-10-14,5,Hyderabad,On Leave
EMP1440,Employee_440,21,Female,Finance,Sales Executive,82649.0,8.0,2017-01-16,10,Coimbatore,Active
EMP1737,Employee_737,48,Female,Sales,Analyst,108104.0,9.0,2023-03-07,8,Chennai,Active
EMP1297,Employee_297,55,Male,IT,Accountant,68463.0,2.0,2024-07-17,10,Hyderabad,Active
EMP1621,Employee_621,22,Male,Finance,Developer,50917.0,20.0,2024-08-04,2,Bangalore,Active
EMP1491,Employee_491,33,Male,Marketing,HR Executive,32263.0,16.0,2019-07-13,5,Chennai,Active
EMP1820,Employee_820,51,Female,Operations,Accountant,60436.0,,2016-12-23,1,Bangalore,Active
EMP1559,Employee_559,48,Female,HR,Analyst,81408.0,19.0,2018-12-22,10,Bangalore,Active
EMP1425,Employee_425,44,Female,Operations,Analyst,82727.0,19.0,2020-09-11,4,Mumbai,Active
EMP1925,Employee_925,34,Male,HR,Manager,101700.0,15.0,2020-01-06,7,Chennai,Active
EMP1313,Employee_313,60,Male,Sales,HR Executive,92712.0,16.0,2015-09-01,10,Pune,On Leave
EMP1185,Employee_185,52,Female,HR,Analyst,99218.0,0.0,2025-09-30,8,Bangalore,Active
EMP1333,Employee_333,27,Female,Operations,Sales Executive,88232.0,6.0,2017-01-11,8,Coimbatore,Active
EMP1089,Employee_89,55,Female,Marketing,Manager,67965.0,4.0,2021-03-03,7,Mumbai,On Leave
EMP1064,Employee_64,51,Male,Sales,HR Executive,87491.0,14.0,2017-06-30,4,Hyderabad,Active
EMP1835,Employee_835,58,Male,IT,Manager,39387.0,12.0,2018-11-26,5,Pune,Active
EMP1577,Employee_577,55,Female,HR,Sales Executive,62327.0,2.0,2023-03-04,6,Mumbai,Resigned
EMP1216,Employee_216,59,Female,IT,HR Executive,68309.0,11.0,2016-03-02,3,Hyderabad,On Leave
EMP1616,Employee_616,55,Male,HR,HR Executive,79845.0,14.0,2023-02-17,7,Bangalore,Resigned
EMP1514,Employee_514,34,Female,Marketing,HR Executive,50675.0,3.0,2018-09-24,7,Hyderabad,Active
EMP1291,Employee_291,55,Male,Finance,Developer,49532.0,13.0,2017-03-08,4,Bangalore,Active
EMP1378,Employee_378,21,Male,Marketing,Sales Executive,119319.0,3.0,2021-04-26,1,Coimbatore,Resigned
EMP1892,Employee_892,42,Male,Operations,Analyst,71313.0,14.0,2018-01-23,5,Bangalore,On Leave
EMP1970,Employee_970,56,Female,Finance,Developer,59872.0,7.0,2016-01-19,10,Mumbai,Resigned
EMP1947,Employee_947,24,Male,Marketing,Sales Executive,72897.0,9.0,2022-12-28,1,Coimbatore,Active
EMP1787,Employee_787,37,Male,Sales,Analyst,72195.0,9.0,2022-11-21,1,Chennai,Active
EMP1426,Employee_426,36,Female,IT,HR Executive,63578.0,9.0,2020-06-16,8,Hyderabad,Active
EMP1697,Employee_697,53,Female,IT,Accountant,107289.0,3.0,2022-06-02,4,Hyderabad,Active
EMP1996,Employee_996,28,Female,Finance,Sales Executive,70276.0,1.0,2019-10-22,1,Mumbai,Active
EMP1310,Employee_310,45,Male,HR,Developer,44702.0,18.0,2023-11-27,7,Mumbai,On Leave
EMP1087,Employee_87,37,Male,Sales,Accountant,43199.0,7.0,2022-09-16,6,Pune,Active
EMP1732,Employee_732,52,Male,HR,Developer,35442.0,5.0,2015-11-09,6,Bangalore,Active
EMP1756,Employee_756,21,Female,Finance,Developer,107522.0,18.0,2025-08-06,7,Bangalore,Active
EMP1311,Employee_311,51,Male,Marketing,Sales Executive,50242.0,11.0,2022-03-08,7,Mumbai,Active
EMP1539,Employee_539,21,Male,Finance,Analyst,104747.0,8.0,2025-10-01,3,Chennai,Active
EMP1137,Employee_137,52,Male,Sales,HR Executive,75124.0,14.0,2024-11-12,2,Hyderabad,Active
EMP1959,Employee_959,35,Male,IT,Accountant,97309.0,2.0,2018-04-30,6,Hyderabad,Active
EMP2000,Employee_1000,49,Female,IT,Manager,104698.0,1.0,2019-04-27,2,Chennai,Active
EMP1729,Employee_729,23,Male,Sales,Sales Executive,46869.0,10.0,2024-09-04,10,Mumbai,Active
EMP1262,Employee_262,53,Male,Operations,Manager,80745.0,17.0,2015-09-17,7,Mumbai,On Leave
EMP1548,Employee_548,39,Female,Operations,Sales Executive,43624.0,15.0,2017-10-13,9,Hyderabad,Active
EMP1169,Employee_169,59,Female,Marketing,Accountant,80835.0,13.0,2015-08-31,10,Chennai,Active
EMP1791,Employee_791,24,Female,IT,Manager,35751.0,2.0,2025-10-31,4,Mumbai,Resigned
EMP1449,Employee_449,55,Male,IT,Analyst,114272.0,0.0,2015-10-01,4,Coimbatore,Active
EMP1140,Employee_140,48,Female,IT,HR Executive,89110.0,,invalid_date,1,Mumbai,On Leave
EMP1686,Employee_686,59,Male,Marketing,Analyst,90618.0,17.0,2019-06-22,5,Hyderabad,Resigned
EMP1667,Employee_667,51,Female,Sales,Accountant,99816.0,11.0,2024-02-29,3,Bangalore,Active
EMP1858,Employee_858,23,Male,Sales,Manager,101240.0,14.0,2019-11-15,10,Bangalore,Resigned
EMP1519,Employee_519,49,Female,IT,HR Executive,78312.0,15.0,2015-02-04,2,Chennai,On Leave
EMP1679,Employee_679,43,Male,Operations,Analyst,80276.0,2.0,2016-11-22,10,Hyderabad,On Leave
EMP1534,Employee_534,49,Male,HR,Accountant,51400.0,15.0,2019-09-11,6,Bangalore,Active
EMP1056,Employee_56,24,Female,Operations,Sales Executive,101396.0,16.0,2023-09-11,3,Pune,Active
EMP1121,Employee_121,35,Male,HR,Manager,118574.0,12.0,2020-10-20,5,Bangalore,Active
EMP1531,Employee_531,47,Female,HR,Accountant,300000.0,2.0,2015-12-06,2,Chennai,On Leave
EMP1026,Employee_26,45,Male,Marketing,Manager,91852.0,18.0,2018-03-19,7,Hyderabad,Active
EMP1073,Employee_73,44,Male,HR,Sales Executive,85948.0,3.0,2024-11-07,7,Pune,Active
EMP1045,Employee_45,48,Male,Finance,Analyst,52364.0,7.0,2021-05-30,7,Pune,Active
EMP1250,Employee_250,40,Female,Marketing,Developer,63870.0,16.0,2015-02-15,5,Hyderabad,On Leave
EMP1405,Employee_405,46,Female,HR,Analyst,32415.0,15.0,2016-03-17,3,Pune,Active
EMP1848,Employee_848,40,Male,Finance,HR Executive,48408.0,15.0,2022-02-11,2,Mumbai,Active
EMP1704,Employee_704,24,Male,Marketing,Manager,119574.0,1.0,2022-11-27,7,Chennai,Active
EMP1919,Employee_919,35,Male,Marketing,HR Executive,57972.0,19.0,2023-10-07,4,Bangalore,Active
EMP1199,Employee_199,53,Female,Sales,Developer,30939.0,10.0,2015-05-17,8,Bangalore,Active
EMP1543,Employee_543,45,Male,HR,Accountant,110842.0,1.0,2024-10-07,2,Bangalore,On Leave
EMP1356,Employee_356,28,Male,Operations,Analyst,47626.0,20.0,2024-10-31,1,Pune,On Leave
EMP1324,Employee_324,53,Male,Marketing,HR Executive,78521.0,20.0,2023-05-15,2,Coimbatore,Resigned
EMP1650,Employee_650,57,Male,Sales,Sales Executive,51990.0,5.0,2018-08-25,5,Mumbai,Resigned
EMP1917,Employee_917,53,Male,Operations,Manager,37207.0,20.0,2021-06-13,6,Pune,Active
EMP1236,Employee_236,29,Female,Marketing,Developer,53328.0,18.0,2015-09-24,3,Coimbatore,Active
EMP1581,Employee_581,34,Male,HR,HR Executive,112051.0,17.0,2021-01-27,6,Chennai,Active
EMP1950,Employee_950,30,male,Sales,HR Executive,67056.0,18.0,2024-06-08,2,Hyderabad,On Leave
EMP1944,Employee_944,57,Male,Marketing,Sales Executive,61468.0,9.0,2022-06-05,2,Mumbai,Active
EMP1908,Employee_908,45,Female,Operations,Developer,105201.0,8.0,2025-11-24,1,Mumbai,Active
EMP1300,Employee_300,49,Female,HR,Accountant,52413.0,16.0,2016-11-15,6,Mumbai,On Leave
EMP1061,Employee_61,30,Male,Marketing,Accountant,115887.0,17.0,2025-05-17,4,Coimbatore,Active
EMP1328,Employee_328,46,Female,Finance,Accountant,107612.0,8.0,2019-01-04,1,Coimbatore,Resigned
EMP1932,Employee_932,27,Male,Operations,Manager,40810.0,20.0,2015-06-28,1,Mumbai,Active
EMP1602,Employee_602,28,Female,Marketing,HR Executive,71163.0,11.0,2019-08-23,4,Hyderabad,Active
EMP1448,Employee_448,22,Female,Marketing,Sales Executive,41589.0,11.0,2015-06-21,4,Bangalore,Resigned
EMP1830,Employee_830,31,Male,Finance,Sales Executive,46225.0,6.0,2023-02-25,7,Coimbatore,Active
EMP1651,Employee_651,57,Female,IT,Sales Executive,41193.0,4.0,2022-01-29,3,Pune,Active
EMP1599,Employee_599,48,Male,Operations,Analyst,32846.0,18.0,2021-02-04,2,Chennai,Active
EMP1545,Employee_545,56,Female,HR,Manager,81184.0,19.0,2025-09-04,8,Hyderabad,Active
EMP1785,Employee_785,46,Female,Finance,HR Executive,30668.0,9.0,2018-01-03,7,Mumbai,On Leave
EMP1306,Employee_306,43,Female,HR,Accountant,37297.0,8.0,2021-08-02,2,Mumbai,Resigned
EMP1319,Employee_319,47,Male,Finance,Sales Executive,34171.0,12.0,2024-10-01,6,Chennai,Resigned
EMP1761,Employee_761,34,Female,Marketing,HR Executive,114160.0,19.0,2025-08-20,9,Chennai,On Leave
EMP1495,Employee_495,39,Female,Operations,Manager,116118.0,19.0,2016-03-04,10,Coimbatore,Resigned
EMP1266,Employee_266,41,Male,IT,Sales Executive,110132.0,14.0,2020-08-16,3,Coimbatore,Resigned
EMP1111,Employee_111,57,Male,Operations,Developer,102403.0,15.0,2019-03-15,2,Pune,Active
EMP1694,Employee_694,47,male,Marketing,Analyst,55981.0,15.0,2018-09-28,7,Bangalore,Resigned
EMP1945,Employee_945,47,Female,Operations,Analyst,55698.0,6.0,2023-06-12,4,Chennai,On Leave
EMP1528,Employee_528,33,Female,IT,Developer,66328.0,7.0,2017-06-22,7,Pune,On Leave
EMP1257,Employee_257,38,Male,Operations,HR Executive,59064.0,17.0,2016-01-16,1,Pune,Resigned
EMP1261,Employee_261,56,Male,Finance,Accountant,93431.0,19.0,2025-02-18,5,Chennai,Active
EMP1635,Employee_635,33,Female,it,HR Executive,101361.0,16.0,2022-10-31,10,Hyderabad,Active
EMP1824,Employee_824,44,Female,Marketing,Manager,107722.0,12.0,2019-03-03,4,Bangalore,Resigned
EMP1430,Employee_430,-5,Male,HR,Sales Executive,102787.0,0.0,2017-05-11,9,Coimbatore,On Leave
EMP1631,Employee_631,46,Male,IT,Manager,104650.0,16.0,2016-01-02,2,Bangalore,Active
EMP1381,Employee_381,52,Male,IT,Developer,85315.0,9.0,2024-12-01,4,Hyderabad,On Leave
EMP1434,Employee_434,55,Female,Marketing,Developer,85142.0,0.0,2018-06-23,8,Hyderabad,On Leave
EMP1735,Employee_735,25,Female,Sales,HR Executive,78053.0,3.0,2020-02-26,1,Mumbai,Active
EMP1138,Employee_138,27,Male,Operations,Manager,77870.0,10.0,2019-05-01,7,Mumbai,Resigned
EMP1358,Employee_358,59,Male,Sales,Accountant,101057.0,2.0,2017-07-08,8,Hyderabad,Resigned
EMP1529,Employee_529,60,Female,HR,Manager,95482.0,9.0,2022-01-11,4,Pune,Resigned
EMP1222,Employee_222,45,Female,HR,Manager,91652.0,16.0,2017-01-11,2,Mumbai,Active
EMP1757,Employee_757,28,Male,Finance,Sales Executive,58458.0,4.0,2022-01-24,2,Pune,Active
EMP1597,Employee_597,48,Female,Finance,Accountant,102789.0,0.0,2019-01-04,8,Bangalore,Active
EMP1560,Employee_560,28,Male,Marketing,Manager,94267.0,5.0,2020-08-10,6,Chennai,On Leave
EMP1364,Employee_364,60,Female,HR,Developer,70607.0,7.0,2018-07-30,9,Mumbai,On Leave
EMP1526,Employee_526,58,Female,Operations,Developer,98155.0,8.0,2023-10-24,3,Bangalore,Active
EMP1209,Employee_209,23,Male,Marketing,Analyst,89805.0,4.0,2019-12-08,1,Hyderabad,On Leave
EMP1412,Employee_412,43,Female,Marketing,HR Executive,62544.0,13.0,2023-07-13,1,Bangalore,Active
EMP1335,Employee_335,40,Female,HR,Sales Executive,49729.0,15.0,2017-03-30,1,Pune,Active
EMP1211,Employee_211,40,Male,Marketing,HR Executive,109565.0,5.0,2017-12-01,7,Chennai,Resigned
EMP1351,Employee_351,42,Male,IT,Analyst,103532.0,6.0,2021-11-30,6,Chennai,On Leave
EMP1079,Employee_79,45,Female,Sales,Developer,35293.0,14.0,2016-07-09,8,Mumbai,Active
EMP1030,Employee_30,35,Female,it,Manager,79575.0,5.0,2019-09-05,6,Chennai,Active
EMP1281,Employee_281,47,Female,Marketing,Analyst,52691.0,16.0,2016-06-21,3,Coimbatore,Active
EMP1586,Employee_586,36,Male,Operations,Accountant,91960.0,10.0,2023-06-24,8,Coimbatore,On Leave
EMP1753,Employee_753,37,Female,Finance,Accountant,25869.0,3.0,2015-09-02,8,Chennai,On Leave
EMP1781,Employee_781,59,Female,IT,Analyst,74831.0,1.0,2023-05-27,8,Mumbai,On Leave
EMP1290,Employee_290,24,Female,Finance,Analyst,44710.0,10.0,2024-11-27,1,Bangalore,Active
EMP1166,Employee_166,52,Female,Operations,Sales Executive,99707.0,9.0,2023-08-11,1,Mumbai,On Leave
EMP1606,Employee_606,56,Female,Sales,Analyst,100277.0,8.0,2023-04-28,4,Hyderabad,On Leave
EMP1875,Employee_875,31,Male,IT,Developer,111465.0,12.0,2020-03-27,8,Bangalore,Active
EMP1721,Employee_721,36,Female,Marketing,Manager,35278.0,9.0,2025-10-21,4,Mumbai,Active
EMP1066,Employee_66,28,Male,Sales,HR Executive,83283.0,5.0,2023-05-11,2,Pune,On Leave
EMP1142,Employee_142,26,Female,Sales,Developer,45936.0,4.0,2020-10-06,7,Chennai,Active
EMP1276,Employee_276,50,Female,Sales,Sales Executive,56312.0,10.0,2024-10-09,1,Chennai,Resigned
EMP1836,Employee_836,22,Male,HR,Developer,94463.0,10.0,2024-11-26,3,Hyderabad,Active
EMP1656,Employee_656,41,Female,Sales,Sales Executive,26306.0,19.0,2018-12-22,8,Bangalore,Active
EMP1466,Employee_466,56,Female,Marketing,Sales Executive,55881.0,12.0,2023-12-12,1,Coimbatore,Active
EMP1671,Employee_671,54,Male,Marketing,Accountant,80561.0,14.0,2025-05-31,10,Pune,Active
EMP1320,Employee_320,22,Female,Finance,Sales Executive,28696.0,16.0,2024-10-30,7,Mumbai,Resigned
EMP1399,Employee_399,25,Male,IT,Analyst,102801.0,7.0,2016-11-23,9,Bangalore,Resigned
EMP1307,Employee_307,53,Female,IT,Analyst,93323.0,12.0,2022-04-19,1,Pune,Active
EMP1308,Employee_308,23,Male,Sales,Accountant,48816.0,15.0,2016-05-21,9,Bangalore,On Leave
EMP1829,Employee_829,48,Male,Marketing,Accountant,117471.0,7.0,2016-04-25,4,Hyderabad,Active
EMP1334,Employee_334,56,Male,Finance,Analyst,40417.0,2.0,2020-07-03,9,Pune,Active
EMP1050,Employee_50,37,Male,Marketing,Developer,54320.0,11.0,2015-05-03,1,Pune,Active
EMP1826,Employee_826,26,Female,Finance,Accountant,27187.0,6.0,2019-07-23,7,Mumbai,Active
EMP1003,Employee_3,35,Male,Operations,HR Executive,73695.0,7.0,2018-01-06,10,Hyderabad,On Leave
EMP1549,Employee_549,59,Male,Finance,Manager,64194.0,15.0,2021-07-02,2,Coimbatore,Resigned
EMP1353,Employee_353,35,Female,Sales,Analyst,27871.0,12.0,2016-04-01,8,Bangalore,Resigned
EMP1913,Employee_913,60,Female,IT,Sales Executive,81053.0,9.0,2016-07-02,9,Mumbai,Active
EMP1952,Employee_952,30,Female,HR,Analyst,84191.0,7.0,2025-05-06,6,Pune,Active
EMP1347,Employee_347,43,Male,Sales,Accountant,59540.0,18.0,2016-12-30,10,Pune,Active
EMP1412,Employee_412,43,Female,Marketing,HR Executive,62544.0,13.0,2023-07-13,1,Bangalore,Active
EMP1825,Employee_825,51,Female,Sales,Analyst,37356.0,3.0,2022-11-28,10,Mumbai,Active
EMP1582,Employee_582,35,Female,IT,Manager,44581.0,9.0,2015-05-14,1,Chennai,Resigned
EMP1034,Employee_34,41,Male,Marketing,Analyst,112592.0,20.0,2022-05-10,8,Bangalore,Active
EMP1032,Employee_32,57,Male,Marketing,Manager,43971.0,15.0,2023-06-21,9,Chennai,Active
EMP1232,Employee_232,32,Female,IT,Developer,117492.0,15.0,2025-11-01,6,Coimbatore,Active
EMP1755,Employee_755,56,Male,Marketing,Accountant,35103.0,8.0,2025-09-01,9,Pune,Active
EMP1193,Employee_193,25,Female,IT,Accountant,43990.0,13.0,2022-04-28,2,Chennai,Active
EMP1515,Employee_515,51,Female,Sales,Manager,43287.0,5.0,invalid_date,7,Mumbai,Resigned
EMP1004,Employee_4,28,Female,Sales,HR Executive,57441.0,3.0,2023-12-10,2,Pune,Active
EMP1205,Employee_205,40,Male,HR,HR Executive,72118.0,2.0,2021-10-18,8,Coimbatore,Active
EMP1540,Employee_540,42,Male,Finance,Manager,113791.0,20.0,2023-06-15,2,Coimbatore,On Leave
EMP1663,Employee_663,60,Female,Operations,HR Executive,76707.0,13.0,2022-08-05,5,Pune,On Leave
EMP1989,Employee_989,53,Male,Operations,Developer,72937.0,11.0,2018-03-13,1,Bangalore,Active
EMP1110,Employee_110,55,Female,Marketing,Manager,101240.0,5.0,2015-11-22,7,Pune,Active
EMP1603,Employee_603,48,Male,HR,Manager,-10000.0,6.0,2015-04-21,10,Pune,Active
EMP1078,Employee_78,21,Male,HR,Accountant,29213.0,14.0,2021-12-17,8,Hyderabad,On Leave
EMP1085,Employee_85,44,Female,Operations,Analyst,53172.0,11.0,2022-12-12,2,Chennai,Active
EMP1527,Employee_527,27,Female,Sales,Developer,96569.0,19.0,2023-08-05,1,Hyderabad,Active
EMP1083,Employee_83,21,Male,Finance,Developer,27100.0,4.0,2025-08-02,2,Hyderabad,Resigned
EMP1255,Employee_255,49,Female,HR,Sales Executive,28642.0,10.0,2018-07-16,4,Coimbatore,Active
EMP1765,Employee_765,34,Female,Finance,Manager,33024.0,9.0,2025-03-20,9,Pune,Active
EMP1429,Employee_429,52,Male,Marketing,Manager,100715.0,19.0,2025-02-18,1,Chennai,Active
EMP1916,Employee_916,58,Male,Finance,HR Executive,94724.0,18.0,2015-03-14,9,Mumbai,On Leave
EMP1524,Employee_524,30,Male,HR,Developer,75719.0,2.0,2016-08-11,1,Chennai,Resigned
EMP1468,Employee_468,57,Male,HR,Sales Executive,33712.0,7.0,2018-01-26,4,Chennai,Active
